Intent,Duration(min),Websites,Start,Done,Learned,Actions
"intend.do review","35","","2025-05-25 10:18:45","","Oops should have put this in the prev feidl - add type back functionality!","Did most of review, turned AI sites into one big site and deployed, made autotype tool - need to imporve it. "
"finish intention review - onbly that not multitasking!","7","","2025-05-25 10:55:28","Almost done!! Like 1 tiny bit left - should have extended. ","Need to add a back button to this thing","add it after this"
"finish inention review","7","","2025-05-25 11:03:16","did that","need to sleep early => block w CT!","also add a back button"
"make autotype work","6","","2025-05-25 14:52:38","Did that","",""
"Do remnote practice for 40 mins","40","","2025-05-25 14:59:09","Oh fuck","Only did like 3 cards - got autotype working, unblocked lesswrong and started workign","do my cards soon"
"read LW posts","30","","2025-05-25 15:39:48","did that","nothing frown - if I am not taking ntoes wtf am i even doing","dont read lw - if you do, take notes!"
"RemNote for 30 mins]","30","","2025-05-25 16:12:34","helped dad bring tires into the car - it was good to move","movement breaks are key! ","Intigrate time tracking and autmated movemnet breaks into my software I am building, as well as auto open note taking sidebar!"
"remnote notes","30","","2025-05-25 16:43:39","did that! Then had driving lesson","remnote is so good for me oh my god","use it, but most of all recomend it to others!!"
"Make bio presentation notes with AI","10","","2025-05-25 19:41:50","Didnt finish it at all - first read AI analysis of focus sessions, then read older slideshpws I had made. Ugh!","Good ideas from the AI: Block shit! 4x focused 50 min sessions per day - oh my god I would finish so much work! I would be like a god!","Block tonight, do 4x focues sessions tommorow"
"Acutally lock in and make and print speaker notes","10","","2025-05-25 19:53:31","Done!","Claude the app is great!","use it - buy a sub?"
"get v1 of ASP thing running","2","","2025-05-25 20:12:39","yay! This is working (added back functionality to intentio_tool)","","yes!!!"
"get v1 of ASP thing running","25","","2025-05-25 20:15:53","got distracted by lesswrong frown","if claude 4 fails a web search tool call in windsurf (due to non utf8 charactor) it breaks windsurf - you cant stop the cascade and it wont generate any more. Also, CO4 has a lot of up to date knowlege - you dont need to get it to search every time",""
"make ASP docs, then make simple SLEEC thing run in clingo","30","","2025-05-25 20:43:06","got distracted by lesswrong frown - again! block that shit now!","ahhhhh",""
"block lesswrong and block past 9 pm","5","","2025-05-25 21:14:44","did that! yay!","Less wrong is really distracting because it is a social media - new content every time! Try your luck! Stay up to date!","block it!!"
"test","1","","2025-05-25 21:22:32","","",""
"intend.dop","15","","2025-05-26 07:30:28","did that","I love intend.do","recomend it to people!"
"cards","30","","2025-05-26 07:47:07","did some, then went to school","cards = very good. Takes a while to do the full review","more time in moringins - wakem up at 7:00"
"cards","45","","2025-05-26 09:15:03","did cards - calcultion questions are hard!","need to find a way to speed up calculation questions - be rigerouse!",""
"finish cards","30","","2025-05-26 10:04:02","Done!","computation questions are hard - prefer x to brackets where possible.",""
"find todo list","5","","2025-05-26 10:36:20","installed claude code - fucking remnote doesn't let you find all your todos","",""
"work on Cling thing - get grammer checker working","10","","2025-05-26 10:43:33","Chestnut application","",""
"Chestunt application","10","","2025-05-26 10:53:59","did that","",""
"chstunt application","25","","2025-05-26 12:14:06","finished it - still need to pick roommate","",""
"analies 1on1","45","","2025-05-26 14:08:45","mostly planned","",""
"finish analiese planning","10","","2025-05-26 14:54:28","almost finished it - not quit done","Oh my god she has a lot of work","Help her automate some of it"
"Add up hours for her plan","4","","2025-05-26 15:06:38","did that","she does not have enough time - around 10 hours short","A lot of time is spent just copying over notes - could that be automated somehow? What does that taking up really look like?"
"Opitmization problems","50","","2025-05-26 15:13:21","Did 3 of them - also spent first 15 mins getting stuff, organizing, restocking aliigator","",""
"help A with plan","40","","2025-05-26 16:03:57","did that","She doesn't want to use AI becuase she is worried it will become a dependancy and she will never critacally think again. Also, she hates the fact that the work is done by a machine and hates that its not really 'earned'","Idk"
"Make her the math thing and send it to her","20","","2025-05-26 17:13:10","almost done!","Oh god claude opus is expensive - maybe switch to the non thinking version? Maybe use sonnet?","try with sonnet"
"send A her website","10","","2025-05-26 17:33:58","did it!","and texted her",""
"read analysis","10","","2025-05-26 18:38:16","did that: also did expense report for dad","","I need to spend less money on random stuff => prep food!"
"finish and send expense report","10","","2025-05-26 18:48:59","did that - now working on SLEEC","I spend a lot of money on useless stuff. Also American to CAD is fucked - 25 usd = 40 cad after tax","use sonnet not opus thinking unless the work is really key"
"grab sleec examples","30","","2025-05-26 19:00:03","did that","not much",""
"get claude 4 opus to write a SLEEC guide similar to the clingo one","15","","2025-05-26 19:32:04","did that - now getting it to make sure everything is real","",""
"get examples and sleec things really rock solid","20","15","2025-05-26 19:52:08","did that i think?","sleec is hard the sytax is not super 100% clear",""
"get claude to build parser checker","10","","2025-05-26 20:16:56","texted A","Shes soo flirty <3",""
"make sleec grammer checker","10","","2025-05-26 20:37:47","did that","opus >> sonnet","use it for important stuff"
"add the sleec exampes","35","","2025-05-26 20:56:51","did that, built sleec sytax validator, built sleec to clingo thing maybe? Watched simon play outer wilds. After I break I can focus so much more!!","Breaks = key for focus!","take more breaks AND automate that! After each work block of greater than 40 mins, automate a 7 min break with a movement prompt!"
"finish sleec 2 clingo convereter","30","","2025-05-26 22:55:25","done! now need to test!","HOLY FUCK THE NEW MODELS ARE SMART MY GOD","Use them for more stuff!!"
"push thing to repo, test it a few times","20","","2025-05-26 23:26:11","its fuckin buggy! Debuging with opus 4","","dont trust them fully - test and make sure the tests are real! also coding things takes time"
"debug till 12:00 20 more min","35","","2025-05-26 23:47:32","did that","that was stupid to stay up that late. ALSO ------!!!!!!!  memory / context is key for the llms - have them make key stuff into memories! (Syntax of SLEEC, sytax of CLingo, how the converter should work)","make them make memories more!"
"intend.do","20","","2025-05-27 07:36:59","did that, started cards","oh god I am happy to go back to bjj","Yay!!!"
"cards","5","","2025-05-27 07:57:35","did that","",""
"see if I have stuff on magnatice feilds in my physics prep","55","","2025-05-27 09:21:45","did that -added it, looked at damiann's cool prject, set ujp thing for s2c","make hardware for your software projects!! Its so cool","Eg make tabled / kindle esq thing for PKM"
"get s2c working","30","","2025-05-27 10:33:34","almost did that - got it to make a memory","memory is key","test"
"run some testing","15","","2025-05-27 11:37:27","did that","eh",""
"test more","10","","2025-05-27 12:02:58","eh","",""
"practice for bio presentation","22","","2025-05-27 12:41:18","did that","",""
"plan out stuff","35","","2025-05-27 14:39:32","Did things + time + break them down and week + timeslots","Write out what you have, break it down into small chunks, estimate how long it will take. Then plan out your week and see how long you have on each day. Add them up and see. ","Automate that!"
"Add up times and see - then assign times","15","","2025-05-27 15:16:03","did that","I have enough time! RemNote does days exaclty like Roam - each day is a page and you can link to it (but they let you hit !! and then select the day from a menu) - also just reading and understanding code is key and very high leverage","read and undertand code more!"
"intend.do","15","","2025-05-28 08:17:20","did that","I am doing such a good job!!",""
